Candidate,State_Name,Assembly_No,Constituency_No,Year.x,month,Poll_No,DelimID,Position,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,district,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type,total_light1996,total_light_cal1996,max_light1996,total_light1999,total_light_cal1999,max_light1999,total_light2004,total_light_cal2004,max_light2004,total_light2009,total_light_cal2009,max_light2009,total_light2013,total_light_cal2013,max_light2013,pc91_pca_tot_p,pc01_pca_tot_p,pc11_pca_tot_p,pc96_pca_tot_p,pc99_pca_tot_p,pc04_pca_tot_p,pc09_pca_tot_p,pc14_pca_tot_p,vote_share_diff,population,total_light_diff,max_light_diff,total_light_cal_diff,education,year_1996,year_1999,year_2004,year_2009,Andhra_Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Goa,Gujarat,Haryana,Himachal_Pradesh,Jharkhand,Karnataka,Kerala,Lakshadweep,Madhya_Pradesh,Maharashtra,Odisha,Puducherry,Punjab,Rajasthan,Tamil_Nadu,Uttar_Pradesh,Uttarakhand,West_Bengal,dynast_wiki,dynast_pdf,dynast,Year.y,age,ed,num_crim,assets,liabilities,adr_major_crime
a venkatesh naik,Karnataka,11,3,1996,4,0,3,2,1,INC,178515,ST,480728,1131242,raichur,GEN,NA,10,42.5,37.13,no,106022,22.05,2.78,AEKA1296,National Party,3482,TRUE,2,INC,3482,RAICHUR,TRUE,TRUE,1,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),29403,36906,3481,32964.5,41439.5,3784.5,31542.5,44882,3554.5,40343,50847,4586,53415,53410,5967,1331054,1640228,1894188,1485641,1578393.2,1716416,1843396,1987860.4333333373,-7.579999999999998,1485641,0.11433451489308055,0.0835941689377826,0.11586039278708604,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013,76,12,0,18974790,1000000,0
a venkatesh naik,Karnataka,11,3,1996,4,0,3,2,1,INC,178515,ST,480728,1131242,raichur,GEN,NA,10,42.5,37.13,no,106022,22.05,2.78,AEKA1296,National Party,3482,TRUE,2,INC,3482,RAICHUR,TRUE,TRUE,1,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),29403,36906,3481,32964.5,41439.5,3784.5,31542.5,44882,3554.5,40343,50847,4586,53415,53410,5967,1331054,1640228,1894188,1485641,1578393.2,1716416,1843396,1987860.4333333373,-7.579999999999998,1485641,0.11433451489308055,0.0835941689377826,0.11586039278708604,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,70,12,0,11971008,32717,0
abdul hamid,Assam,13,4,1999,9,0,3,1,1,INC,279812,NA,809069,1050547,dhubri,GEN,NA,8,77.01,34.58,no,21340,2.64,3.57,GEAS35646,National Party,3482,TRUE,4,INC,3482,DHUBRI,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1748,2208,806,1425,1886,659.5,1604.5,3149.5,757.5,1825,4094,879,2479,6074,1218,1074308,1320866,1637833,1197587,1271554.4,1415956.1,1574439.6,1710626.9166666642,2.629999999999999,1197587,0.11864036784715992,0.1385415652261548,0.5127855258685807,NA,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,52,12,0,6000,0,0
abdul hamid,Assam,13,4,1999,9,0,3,1,1,INC,279812,NA,809069,1050547,dhubri,GEN,NA,8,77.01,34.58,no,21340,2.64,3.57,GEAS35646,National Party,3482,TRUE,4,INC,3482,DHUBRI,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1748,2208,806,1425,1886,659.5,1604.5,3149.5,757.5,1825,4094,879,2479,6074,1218,1074308,1320866,1637833,1197587,1271554.4,1415956.1,1574439.6,1710626.9166666642,2.629999999999999,1197587,0.11864036784715992,0.1385415652261548,0.5127855258685807,NA,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,59,12,0,4291362,758490,0
abdul hamid,Assam,13,4,1999,9,0,3,1,1,INC,279812,NA,809069,1050547,dhubri,GEN,NA,8,77.01,34.58,no,21340,2.64,3.57,GEAS35646,National Party,3482,TRUE,4,INC,3482,DHUBRI,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1748,2208,806,1425,1886,659.5,1604.5,3149.5,757.5,1825,4094,879,2479,6074,1218,1074308,1320866,1637833,1197587,1271554.4,1415956.1,1574439.6,1710626.9166666642,2.629999999999999,1197587,0.11864036784715992,0.1385415652261548,0.5127855258685807,NA,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2006,65,14,0,3884000,NA,0
abdul hamid,Assam,13,4,1999,9,0,3,1,1,INC,279812,NA,809069,1050547,dhubri,GEN,NA,8,77.01,34.58,no,21340,2.64,3.57,GEAS35646,National Party,3482,TRUE,4,INC,3482,DHUBRI,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1748,2208,806,1425,1886,659.5,1604.5,3149.5,757.5,1825,4094,879,2479,6074,1218,1074308,1320866,1637833,1197587,1271554.4,1415956.1,1574439.6,1710626.9166666642,2.629999999999999,1197587,0.11864036784715992,0.1385415652261548,0.5127855258685807,NA,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,57,12,0,14000,0,0
abdul hamid,Assam,13,4,1999,9,0,3,1,1,INC,279812,NA,809069,1050547,dhubri,GEN,NA,8,77.01,34.58,no,21340,2.64,3.57,GEAS35646,National Party,3482,TRUE,4,INC,3482,DHUBRI,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1748,2208,806,1425,1886,659.5,1604.5,3149.5,757.5,1825,4094,879,2479,6074,1218,1074308,1320866,1637833,1197587,1271554.4,1415956.1,1574439.6,1710626.9166666642,2.629999999999999,1197587,0.11864036784715992,0.1385415652261548,0.5127855258685807,NA,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2011,37,10,0,25000,0,0
abdul hamid,Assam,13,4,1999,9,0,3,1,1,INC,279812,NA,809069,1050547,dhubri,GEN,NA,8,77.01,34.58,no,21340,2.64,3.57,GEAS35646,National Party,3482,TRUE,4,INC,3482,DHUBRI,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1748,2208,806,1425,1886,659.5,1604.5,3149.5,757.5,1825,4094,879,2479,6074,1218,1074308,1320866,1637833,1197587,1271554.4,1415956.1,1574439.6,1710626.9166666642,2.629999999999999,1197587,0.11864036784715992,0.1385415652261548,0.5127855258685807,NA,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2012,27,10,0,7448000,0,0
abdul hamid,Assam,13,4,1999,9,0,3,1,1,INC,279812,NA,809069,1050547,dhubri,GEN,NA,8,77.01,34.58,no,21340,2.64,3.57,GEAS35646,National Party,3482,TRUE,4,INC,3482,DHUBRI,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1748,2208,806,1425,1886,659.5,1604.5,3149.5,757.5,1825,4094,879,2479,6074,1218,1074308,1320866,1637833,1197587,1271554.4,1415956.1,1574439.6,1710626.9166666642,2.629999999999999,1197587,0.11864036784715992,0.1385415652261548,0.5127855258685807,NA,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,44,10,0,23417922,3090882,0
abdul hamid,Assam,13,4,1999,9,0,3,1,1,INC,279812,NA,809069,1050547,dhubri,GEN,NA,8,77.01,34.58,no,21340,2.64,3.57,GEAS35646,National Party,3482,TRUE,4,INC,3482,DHUBRI,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1748,2208,806,1425,1886,659.5,1604.5,3149.5,757.5,1825,4094,879,2479,6074,1218,1074308,1320866,1637833,1197587,1271554.4,1415956.1,1574439.6,1710626.9166666642,2.629999999999999,1197587,0.11864036784715992,0.1385415652261548,0.5127855258685807,NA,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,60,12,0,3225000,0,0
abdul hamid,Assam,13,4,1999,9,0,3,1,1,INC,279812,NA,809069,1050547,dhubri,GEN,NA,8,77.01,34.58,no,21340,2.64,3.57,GEAS35646,National Party,3482,TRUE,4,INC,3482,DHUBRI,TRUE,TRUE,3,FALSE,TRUE,TRUE,NA,NA,NA,NA,NA,Lok Sabha Election (GE),1748,2208,806,1425,1886,659.5,1604.5,3149.5,757.5,1825,4094,879,2479,6074,1218,1074308,1320866,1637833,1197587,1271554.4,1415956.1,1574439.6,1710626.9166666642,2.629999999999999,1197587,0.11864036784715992,0.1385415652261548,0.5127855258685807,NA,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016,42,8,0,65000,0,0
